,Brand,Year,Model,Distance_in_k,Fuel_type,Transmission_type,Emi_amount,Area,Prices_in_lakhs
169, Hyundai,2016,Grand,27.62k,Petrol,Manual,"6,232"," Kandivali, Mumbai",3.19 lakh
170, Maruti,2018,Baleno,261.67k,Petrol,Manual,"9,638"," Mulund West, Mumbai 
",4.93 lakh
171, Volkswagen,2014,Polo,97.25k,Petrol,Manual,"6,715"," Kandivali, Mumbai",2.55 lakh
172, Hyundai,2016,Creta,77.83k,Petrol,Manual,"13,255"," Kandivali, Mumbai",6.78 lakh
173, Renault,2015,Kwid,833.67k,Petrol,Manual,"4,783"," Mulund West, Mumbai 
",2.15 lakh
174, Maruti,2018,Dzire,32.57k,Petrol,Manual,"10,538"," Mulund West, Mumbai 
",5.39 lakh
175, Ford,2018,FREESTYLE,56.24k,Petrol,Manual,"8,954"," Goregaon, Mumbai",4.58 lakh
176, Tata,2022,Tiago,41.01k,Petrol,Auto,"10,068"," Mulund West, Mumbai 
",5.15 lakh
177, Maruti,2014,Alto,30.59k,Petrol,Manual,"5,082"," Mulund West, Mumbai 
",1.93 lakh
178, Maruti,2013,Wagon,76.23k,Petrol,Manual,"7,540"," Kandivali, Mumbai",2.27 lakh
179, Hyundai,2018,Verna,77.09k,Petrol,Auto,"14,702"," Kandivali, Mumbai",7.52 lakh
180, Honda,2017,City,59.98k,Petrol,Auto,"13,138"," Kandivali, Mumbai",6.72 lakh
181, Honda,2018,WR,90.93k,Diesel,Manual,"12,317"," Mulund West, Mumbai 
",6.30 lakh
182, Renault,2018,Duster,77.34k,Petrol,Auto,"11,065"," Seawood
",5.66 lakh
183, Maruti,2019,IGNIS,270.21k,Petrol,Manual,"8,485"," Goregaon, Mumbai",4.34 lakh
184, Maruti,2019,New,013.94k,Petrol,Manual,"8,270"," Mulund West, Mumbai 
",4.23 lakh
185, Maruti,2018,Dzire,32.57k,Petrol,Manual,"10,538"," Mulund West, Mumbai 
",5.39 lakh
186, Hyundai,2016,Creta,77.83k,Petrol,Manual,"13,255"," Kandivali, Mumbai",6.78 lakh
187, Maruti,2018,Baleno,261.67k,Petrol,Manual,"9,638"," Mulund West, Mumbai 
",4.93 lakh
